ID,survived,fare,age,alive,parch,adult_male,gender
247,1,83.1583,24.0,yes,0,False,female
691,1,13.8583,27.0,yes,0,False,female
82,0,7.8958,28.0,no,0,True,male
323,0,8.05,26.0,no,0,True,male
178,0,13.0,27.0,no,0,True,male
181,0,9.35,22.0,no,0,True,male
195,0,7.125,22.0,no,0,True,male
507,1,69.3,24.0,yes,0,False,female
486,0,16.1,26.0,no,0,False,female
102,0,7.8958,33.0,no,0,True,male
454,0,8.05,16.0,no,0,True,male
367,1,10.5,50.0,yes,0,False,female
231,0,7.8958,22.0,no,0,True,male
81,0,7.925,37.0,no,0,True,male
210,1,31.3875,3.0,yes,2,False,male
343,1,8.05,32.0,yes,0,True,male
572,1,33.0,6.0,yes,1,False,female
566,0,9.4833,29.0,no,0,True,male
146,1,39.0,1.0,yes,1,False,male
186,0,7.775,29.0,no,0,True,male
569,1,227.525,38.0,yes,0,False,female
272,0,35.5,45.0,no,0,True,male
49,1,10.5,29.0,yes,0,False,female
42,1,10.5,21.0,yes,0,False,female
464,0,15.0,47.0,no,0,True,male
295,1,55.4417,25.0,yes,0,True,male
230,1,9.5,30.0,yes,0,True,male
625,0,7.25,25.0,no,0,True,male
624,0,7.05,25.0,no,0,True,male
499,0,7.0542,51.0,no,0,True,male
544,0,10.1708,19.0,no,0,True,male
535,1,9.8417,18.0,yes,0,False,female
680,1,39.4,16.0,yes,1,False,female
613,0,8.3625,32.0,no,0,True,male
108,1,26.2833,19.0,yes,2,False,female
403,1,26.0,33.0,yes,2,False,female
377,1,13.7917,23.0,yes,0,False,female
434,1,26.0,19.0,yes,0,False,female
164,0,15.85,32.0,no,0,True,male
676,0,33.0,28.0,no,1,True,male
233,1,7.75,22.0,yes,0,False,female
47,0,83.475,45.0,no,0,True,male
480,1,41.5792,22.0,yes,2,False,female
526,0,73.5,32.0,no,0,True,male
637,0,13.0,34.0,no,0,True,male
514,1,23.0,18.0,yes,1,False,female
198,0,7.775,25.0,no,0,False,female
92,0,21.0,29.0,no,0,True,male
193,0,12.275,33.0,no,0,True,male
98,0,77.2875,54.0,no,1,True,male
396,0,151.55,25.0,no,2,False,female
488,0,10.5,26.0,no,0,True,male
207,1,86.5,30.0,yes,0,False,female
106,0,13.0,25.0,no,0,True,male
271,1,8.05,45.0,yes,0,True,male
86,0,14.4542,14.5,no,0,False,female
292,0,7.25,30.0,no,0,True,male
516,0,6.75,18.0,no,0,False,female
583,0,13.0,23.0,no,0,True,male
104,0,14.5,47.0,no,0,False,female
297,0,8.05,19.0,no,0,True,male
320,0,10.5,23.0,no,0,True,male
294,1,69.3,24.0,yes,0,False,female
284,0,17.8,25.0,no,0,True,male
103,0,7.05,20.0,no,0,True,male
127,0,8.05,30.0,no,0,True,male
32,0,9.475,40.0,no,0,False,female
11,1,26.55,58.0,yes,0,False,female
307,1,52.0,35.0,yes,0,False,female
113,1,15.85,24.0,yes,0,False,female
540,0,46.9,14.0,no,2,False,male
361,1,30.5,52.0,yes,0,True,male
59,1,29.0,0.83,yes,2,False,male
145,0,31.3875,9.0,no,2,False,male
379,0,21.0,34.0,no,0,True,male
15,1,16.0,55.0,yes,0,False,female
478,0,7.8958,30.0,no,0,True,male
360,1,19.2583,5.0,yes,1,False,female
559,0,7.8542,26.0,no,0,True,male
645,0,13.0,39.0,no,0,True,male
576,1,53.1,27.0,yes,0,True,male
510,1,76.7292,48.0,yes,0,True,male
200,1,52.5542,37.0,yes,1,True,male
444,1,17.4,36.0,yes,0,False,female
390,1,15.9,9.0,yes,1,False,male
674,0,7.55,42.0,no,0,True,male
553,0,110.8833,49.0,no,1,True,male
144,0,0.0,36.0,no,0,True,male
447,0,24.15,24.0,no,0,True,male
357,1,81.8583,4.0,yes,2,False,male
267,0,153.4625,38.0,no,1,True,male
46,0,7.2292,22.0,no,0,True,male
463,1,79.65,18.0,yes,2,False,female
571,0,7.775,33.0,no,0,True,male
417,0,7.75,40.5,no,0,True,male
325,0,15.85,28.0,no,0,True,male
448,0,7.8958,19.0,no,0,True,male
273,1,26.0,2.0,yes,1,False,male
305,1,15.7417,1.0,yes,2,False,female
712,0,7.75,32.0,no,0,True,male
176,0,10.5,30.0,no,0,True,male
476,1,26.55,35.0,yes,0,True,male
705,0,10.5167,22.0,no,0,False,female
189,0,10.5,24.0,no,0,True,male
137,0,29.125,4.0,no,1,False,male
128,0,16.1,44.0,no,1,True,male
124,0,14.5,40.5,no,2,True,male
366,0,26.55,65.0,no,0,True,male
609,1,120.0,36.0,yes,2,False,female
573,0,7.0542,17.0,no,0,True,male
466,0,8.05,22.0,no,0,True,male
555,1,227.525,18.0,yes,0,False,female
410,0,34.0208,47.0,no,0,True,male
112,1,7.75,22.0,yes,0,False,female
374,1,19.2583,0.75,yes,1,False,female
641,1,6.975,27.0,yes,0,True,male
451,1,10.5,62.0,yes,0,True,male
331,1,90.0,33.0,yes,0,False,female
125,0,61.3792,51.0,no,1,True,male
160,0,6.4958,34.0,no,0,True,male
216,1,153.4625,58.0,yes,1,False,female
327,0,21.0,34.0,no,0,True,male
38,0,7.8,21.0,no,0,True,male
684,1,26.55,51.0,yes,0,True,male
170,0,7.25,22.0,no,0,True,male
156,1,146.5208,58.0,yes,0,False,female
107,0,15.0458,23.0,no,0,True,male
202,0,10.4625,29.0,no,1,False,female
96,0,30.0708,32.5,no,0,True,male
598,1,12.475,6.0,yes,1,False,male
591,1,7.925,31.0,yes,0,True,male
238,0,7.8958,24.0,no,0,True,male
491,1,15.7417,20.0,yes,1,True,male
706,0,10.5,28.0,no,0,True,male
450,1,7.8542,32.0,yes,0,True,male
350,1,18.75,24.0,yes,3,False,female
171,0,13.0,30.0,no,0,True,male
469,0,7.25,47.0,no,0,True,male
54,0,46.9,16.0,no,2,False,female
616,0,10.5,57.0,no,0,False,female
