ID,pclass,sibsp,embarked,class,who,embark_town
253,2,1,S,Second,female,Southampton
385,3,0,S,Third,female,Southampton
475,3,0,S,Third,male,Southampton
669,3,0,S,Third,male,Southampton
70,3,0,S,Third,male,Southampton
711,1,0,C,First,male,Cherbourg
668,3,0,S,Third,male,Southampton
62,3,0,S,Third,male,Southampton
681,2,1,S,Second,female,Southampton
477,3,1,S,Third,male,Southampton
313,3,0,S,Third,male,Southampton
100,3,0,S,Third,male,Southampton
479,1,0,S,First,male,Southampton
584,2,0,S,Second,male,Southampton
161,3,0,C,Third,male,Cherbourg
194,2,0,S,Second,male,Southampton
390,3,1,S,Third,child,Southampton
232,2,0,S,Second,male,Southampton
583,2,0,S,Second,male,Southampton
357,1,0,S,First,child,Southampton
150,3,0,S,Third,male,Southampton
542,2,1,C,Second,male,Cherbourg
639,1,1,S,First,child,Southampton
581,1,0,S,First,female,Southampton
684,1,0,S,First,male,Southampton
459,2,1,S,Second,female,Southampton
294,1,0,C,First,female,Cherbourg
320,2,0,S,Second,male,Southampton
426,1,0,C,First,female,Cherbourg
158,2,0,S,Second,female,Southampton
615,3,0,S,Third,male,Southampton
341,2,1,S,Second,female,Southampton
657,3,0,S,Third,male,Southampton
361,1,0,S,First,male,Southampton
471,3,1,S,Third,male,Southampton
481,1,0,S,First,female,Southampton
340,3,1,S,Third,male,Southampton
234,1,0,S,First,female,Southampton
333,2,1,S,Second,female,Southampton
437,1,0,C,First,male,Cherbourg
184,2,0,S,Second,male,Southampton
353,2,1,S,Second,female,Southampton
460,1,1,C,First,female,Cherbourg
707,3,0,S,Third,male,Southampton
107,2,0,C,Second,male,Cherbourg
410,1,0,S,First,male,Southampton
549,3,0,C,Third,male,Cherbourg
536,3,1,S,Third,female,Southampton
292,3,0,S,Third,male,Southampton
403,2,0,S,Second,female,Southampton
571,3,0,S,Third,male,Southampton
364,1,1,C,First,male,Cherbourg
311,2,0,C,Second,female,Cherbourg
149,3,1,Q,Third,male,Queenstown
13,3,1,S,Third,male,Southampton
213,2,0,S,Second,male,Southampton
699,3,0,C,Third,child,Cherbourg
434,2,1,S,Second,female,Southampton
85,1,0,S,First,male,Southampton
305,3,0,C,Third,child,Cherbourg
195,3,0,S,Third,male,Southampton
99,3,1,C,Third,child,Cherbourg
38,3,0,S,Third,male,Southampton
425,1,0,S,First,male,Southampton
208,1,0,C,First,female,Cherbourg
122,1,1,S,First,female,Southampton
667,3,0,S,Third,male,Southampton
198,3,0,S,Third,female,Southampton
152,2,0,S,Second,male,Southampton
497,3,0,S,Third,male,Southampton
659,3,0,S,Third,female,Southampton
67,1,3,S,First,female,Southampton
472,3,0,S,Third,male,Southampton
499,3,0,S,Third,male,Southampton
279,2,0,S,Second,female,Southampton
160,3,0,S,Third,male,Southampton
452,1,2,S,First,female,Southampton
575,2,0,S,Second,male,Southampton
683,1,1,S,First,female,Southampton
187,2,0,S,Second,male,Southampton
342,2,0,S,Second,female,Southampton
449,3,0,S,Third,female,Southampton
132,3,4,S,Third,child,Southampton
104,3,1,S,Third,female,Southampton
428,1,0,S,First,female,Southampton
151,2,0,S,Second,female,Southampton
589,1,2,C,First,female,Cherbourg
199,2,0,S,Second,female,Southampton
626,3,0,S,Third,female,Southampton
511,3,0,S,Third,male,Southampton
181,3,0,S,Third,male,Southampton
689,2,0,S,Second,male,Southampton
241,1,0,C,First,female,Cherbourg
321,2,0,S,Second,female,Southampton
86,3,1,C,Third,child,Cherbourg
231,3,0,S,Third,male,Southampton
627,3,4,Q,Third,child,Queenstown
30,3,2,S,Third,female,Southampton
304,1,0,C,First,female,Cherbourg
487,2,2,S,Second,child,Southampton
71,1,1,S,First,male,Southampton
118,3,2,S,Third,child,Southampton
66,3,1,S,Third,male,Southampton
268,3,2,S,Third,male,Southampton
289,2,1,C,Second,male,Cherbourg
354,3,0,S,Third,male,Southampton
682,3,0,S,Third,female,Southampton
249,2,1,S,Second,female,Southampton
108,1,0,S,First,female,Southampton
44,2,1,S,Second,child,Southampton
564,1,0,C,First,female,Cherbourg
538,1,0,C,First,male,Cherbourg
397,3,0,S,Third,male,Southampton
368,1,0,S,First,male,Southampton
330,3,0,S,Third,male,Southampton
688,1,0,S,First,female,Southampton
265,1,0,C,First,female,Cherbourg
141,3,1,S,Third,male,Southampton
246,1,0,C,First,female,Cherbourg
344,1,0,S,First,male,Southampton
383,3,5,S,Third,child,Southampton
550,1,0,S,First,male,Southampton
222,3,0,S,Third,female,Southampton
677,3,4,S,Third,child,Southampton
233,3,0,Q,Third,female,Queenstown
317,3,0,S,Third,male,Southampton
336,3,0,S,Third,child,Southampton
57,3,0,S,Third,male,Southampton
325,3,1,S,Third,male,Southampton
603,3,0,S,Third,male,Southampton
200,1,1,S,First,male,Southampton
4,1,1,S,First,female,Southampton
395,1,1,C,First,female,Cherbourg
205,3,0,S,Third,female,Southampton
408,1,1,C,First,female,Cherbourg
173,3,0,S,Third,female,Southampton
560,2,0,S,Second,male,Southampton
220,1,0,C,First,male,Cherbourg
673,3,0,S,Third,male,Southampton
360,3,2,C,Third,child,Cherbourg
585,3,0,S,Third,male,Southampton
242,3,0,S,Third,male,Southampton
121,2,0,S,Second,male,Southampton
372,3,0,S,Third,male,Southampton
113,3,1,S,Third,female,Southampton
378,3,0,S,Third,female,Southampton
250,3,0,S,Third,male,Southampton
414,1,0,S,First,female,Southampton
145,3,4,S,Third,child,Southampton
332,3,0,S,Third,male,Southampton
592,1,1,S,First,male,Southampton
18,2,0,S,Second,male,Southampton
240,1,1,S,First,child,Southampton
570,2,0,S,Second,female,Southampton
34,2,1,C,Second,child,Cherbourg
138,3,1,S,Third,child,Southampton
512,1,0,C,First,male,Cherbourg
24,1,3,S,First,male,Southampton
642,3,0,S,Third,male,Southampton
2,1,1,C,First,female,Cherbourg
545,3,0,S,Third,male,Southampton
114,3,0,Q,Third,male,Queenstown
465,1,1,C,First,male,Cherbourg
105,2,1,S,Second,female,Southampton
302,3,0,C,Third,male,Cherbourg
440,3,0,S,Third,female,Southampton
451,2,0,S,Second,male,Southampton
171,2,0,S,Second,male,Southampton
88,3,1,S,Third,female,Southampton
435,3,1,S,Third,male,Southampton
291,3,0,S,Third,male,Southampton
710,1,0,S,First,female,Southampton
221,1,1,S,First,female,Southampton
32,3,1,S,Third,female,Southampton
89,3,0,C,Third,female,Cherbourg
696,1,0,S,First,male,Southampton
595,1,1,S,First,male,Southampton
264,3,1,S,Third,female,Southampton
248,1,2,C,First,female,Cherbourg
456,2,0,S,Second,female,Southampton
670,2,0,S,Second,male,Southampton
554,3,0,S,Third,male,Southampton
530,1,1,S,First,male,Southampton
316,3,0,S,Third,female,Southampton
457,1,1,S,First,female,Southampton
631,3,0,S,Third,male,Southampton
420,2,2,S,Second,male,Southampton
598,3,0,S,Third,child,Southampton
167,1,0,C,First,male,Cherbourg
485,3,1,S,Third,male,Southampton
572,2,0,S,Second,child,Southampton
427,1,0,C,First,female,Cherbourg
286,1,0,S,First,female,Southampton
400,3,0,S,Third,female,Southampton
189,2,0,S,Second,male,Southampton
424,2,0,S,Second,child,Southampton
541,2,1,S,Second,male,Southampton
244,1,1,C,First,female,Cherbourg
182,2,0,S,Second,male,Southampton
539,3,0,S,Third,male,Southampton
387,1,1,S,First,female,Southampton
612,3,0,Q,Third,female,Queenstown
593,3,1,S,Third,male,Southampton
329,2,1,S,Second,child,Southampton
621,3,0,C,Third,child,Cherbourg
124,3,0,S,Third,male,Southampton
551,2,0,S,Second,male,Southampton
516,3,0,Q,Third,female,Queenstown
633,1,0,S,First,female,Southampton
640,3,0,C,Third,child,Cherbourg
346,3,0,S,Third,male,Southampton
430,3,4,S,Third,child,Southampton
374,3,2,C,Third,child,Cherbourg
97,2,0,S,Second,female,Southampton
278,2,0,S,Second,female,Southampton
188,3,4,S,Third,child,Southampton
269,1,1,S,First,male,Southampton
22,3,3,S,Third,child,Southampton
217,1,0,S,First,female,Southampton
494,1,0,S,First,male,Southampton
7,3,3,S,Third,child,Southampton
58,3,0,S,Third,male,Southampton
351,1,1,S,First,male,Southampton
262,3,0,S,Third,male,Southampton
29,3,0,S,Third,male,Southampton
708,3,0,Q,Third,female,Queenstown
20,3,0,Q,Third,child,Queenstown
608,3,0,C,Third,male,Cherbourg
254,2,0,S,Second,male,Southampton
478,3,0,S,Third,male,Southampton
563,1,0,S,First,female,Southampton
350,2,2,S,Second,female,Southampton
382,3,0,S,Third,child,Southampton
230,3,0,S,Third,male,Southampton
212,1,0,S,First,male,Southampton
358,2,0,S,Second,child,Southampton
51,3,4,S,Third,female,Southampton
540,3,5,S,Third,child,Southampton
87,3,0,S,Third,male,Southampton
666,1,1,C,First,female,Cherbourg
503,3,0,S,Third,male,Southampton
702,1,0,C,First,female,Cherbourg
600,3,0,S,Third,male,Southampton
501,3,3,S,Third,child,Southampton
486,3,1,S,Third,female,Southampton
319,2,0,S,Second,male,Southampton
296,3,1,S,Third,male,Southampton
362,2,1,S,Second,male,Southampton
661,2,0,C,Second,child,Cherbourg
82,3,0,S,Third,male,Southampton
482,3,1,S,Third,female,Southampton
620,1,0,S,First,female,Southampton
373,1,0,S,First,male,Southampton
473,1,1,C,First,male,Cherbourg
409,3,0,S,Third,male,Southampton
576,1,1,S,First,male,Southampton
59,2,0,S,Second,child,Southampton
405,3,0,S,Third,male,Southampton
49,2,0,S,Second,female,Southampton
192,2,0,S,Second,male,Southampton
43,3,0,C,Third,male,Cherbourg
617,2,1,S,Second,female,Southampton
293,1,1,C,First,female,Cherbourg
692,1,0,S,First,male,Southampton
488,2,0,S,Second,male,Southampton
318,3,0,S,Third,female,Southampton
419,3,0,S,Third,male,Southampton
510,1,1,C,First,male,Cherbourg
339,3,1,S,Third,female,Southampton
183,3,0,S,Third,male,Southampton
491,3,1,C,Third,male,Cherbourg
120,2,0,S,Second,male,Southampton
443,1,1,S,First,female,Southampton
307,1,1,S,First,female,Southampton
548,3,0,C,Third,child,Cherbourg
544,3,0,S,Third,male,Southampton
703,2,0,S,Second,female,Southampton
31,3,1,C,Third,child,Cherbourg
259,2,0,Q,Second,female,Queenstown
537,1,0,C,First,male,Cherbourg
202,3,1,S,Third,female,Southampton
65,3,3,S,Third,female,Southampton
83,3,0,S,Third,female,Southampton
179,3,0,S,Third,male,Southampton
652,3,0,S,Third,female,Southampton
229,3,0,C,Third,male,Cherbourg
12,3,0,S,Third,male,Southampton
81,3,2,S,Third,male,Southampton
379,2,1,S,Second,male,Southampton
375,3,0,S,Third,male,Southampton
381,3,0,S,Third,male,Southampton
285,3,0,S,Third,male,Southampton
555,1,1,C,First,female,Cherbourg
686,3,2,S,Third,male,Southampton
210,3,4,S,Third,child,Southampton
75,1,0,C,First,male,Cherbourg
98,1,0,S,First,male,Southampton
284,3,1,S,Third,male,Southampton
676,2,0,S,Second,male,Southampton
412,2,1,S,Second,female,Southampton
