video_id,title,published_at,duration_raw,duration_sec,view_count,like_count,comment_count,category_id,category_name,channel_id,channel_title,hour,weekday,is_weekend,is_short,like_view_ratio,comment_view_ratio,n_positive,n_negative,n_neutral,n_comments_sampled,ratio_positive,ratio_negative,ratio_neutral
ekr2nIex040,ROSÉ & Bruno Mars - APT. (Official Music Video),2024-10-18 04:00:07+00:00,PT2M54S,174.0,2176762509,17277441.0,821881.0,10,Music,UCBo1hnzxV9rz3WVsv__Rn1g,ROSÉ,4,4,0,0,0.007937219117182067,0.00037757035808999226,179,9,312,500,0.358,0.018,0.624
hUnb-mcIq6k,ToRung comedy: 😂magic box📦,2024-10-10 12:12:53+00:00,PT1M,60.0,1016388151,33439342.0,43678.0,23,Comedy,UCXbYlU08sOTBktOtjVsvR6w,ToRung,12,3,0,1,0.0329001690614947,4.2973739862105104e-05,67,0,433,500,0.134,0.0,0.866
9rVBlgGFaD8,싸움이 났을 때 이 방법을 써보세요 | 달님이 | 시즌2 | 노래 | 율동 | 키즈 | 뮤지컬 | 반짝반짝 달님이#shorts,2024-06-19 08:00:05+00:00,PT1M,60.0,696912997,8596836.0,0.0,1,Film & Animation,UCXB3QDMncTKZFsGrd11zviw,반짝반짝 달님이 Dalimi_Animation,8,2,0,1,0.01233559430948595,0.0,0,0,0,0,0.0,0.0,0.0
I9mw5UlDyPI,This Game Is Wild...,2024-11-12 17:00:00+00:00,PT19S,19.0,660856676,13278406.0,8650.0,24,Entertainment,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,17,1,0,1,0.020092716745135825,1.3089071071137973e-05,76,6,418,500,0.152,0.012,0.836
3cWm9B_0_kI,How Many People To Stop Ronaldo?,2024-12-27 19:00:00+00:00,PT21S,21.0,518918612,11770078.0,27308.0,24,Entertainment,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,19,4,0,1,0.022681934561252545,5.2624822792056645e-05,61,3,436,500,0.122,0.006,0.872
SaFNSWFeWP4,エプロンが、、、ねじ、、れ、、 #たかしお兄さん #やさいのうた #shorts,2024-02-01 07:33:14+00:00,PT13S,13.0,455090728,1775746.0,0.0,27,Education,UCY23ZWAoiQk_JrJfmV0l4fw,コロムビアキッズ TV,7,3,0,1,0.003901960402058554,0.0,0,0,0,0,0.0,0.0,0.0
fyXCkB_KMCk,Laptop Ka Chakkar 😂 | Kaamwali Bai | #shorts | Shorts Break,2024-12-03 03:30:17+00:00,PT1M,60.0,447192448,8734220.0,7206.0,23,Comedy,UCgJ5_1F6yJhYLnyMszUdmUg,Shorts Break,3,1,0,1,0.0195312332286971,1.6113867826318927e-05,39,5,456,500,0.078,0.01,0.912
MpN5lKbvR64,The End 😂😂 |Indian family #shorts #indian #relatable #chotabhai #school,2024-12-03 14:32:30+00:00,PT51S,51.0,441719873,4515645.0,3584.0,24,Entertainment,UC8FqLpnbxRNpNmDuxNHuHHA,PR PRESENTS,14,1,0,1,0.010222870366532048,8.113739541892877e-06,45,1,454,500,0.09,0.002,0.908
2wA_b6YHjqQ,BABYMONSTER - ‘SHEESH’ M/V,2024-03-31 15:00:08+00:00,PT3M6S,186.0,381678085,4346965.0,246188.0,22,People & Blogs,UCqwUnggBBct-AY2lAdI88jQ,BABYMONSTER,15,6,1,0,0.011389087219927757,0.0006450147642089538,119,7,374,500,0.238,0.014,0.748
hbcGx4MGUMg,LISA - ROCKSTAR (Official Music Video),2024-06-28 00:00:07+00:00,PT2M48S,168.0,355107858,6806924.0,517924.0,10,Music,UC6-BgjsBa5R3PZQ_kZ8hKPg,LLOUD Official,0,4,0,0,0.0191686098931666,0.001458497716488155,122,5,373,500,0.244,0.01,0.746
e6PwUOEZoaU,The End 😂😂 |Indian family #shorts #indian #relatable #chotabhai #school,2024-10-16 14:34:04+00:00,PT43S,43.0,340889946,3282770.0,1367.0,24,Entertainment,UC8FqLpnbxRNpNmDuxNHuHHA,PR PRESENTS,14,2,0,1,0.009629999472029017,4.010091867009771e-06,34,0,466,500,0.068,0.0,0.932
Zp-Jhuhq0bQ,BABYMONSTER - 'DRIP' M/V,2024-11-01 04:00:06+00:00,PT3M7S,187.0,321718065,2970028.0,126849.0,22,People & Blogs,UCqwUnggBBct-AY2lAdI88jQ,BABYMONSTER,4,4,0,0,0.009231772545940185,0.00039428622076289065,131,10,359,500,0.262,0.02,0.718
EzB5V_Srm64,Boing boing in the lecture hall at USC,2024-03-28 16:27:57+00:00,PT10S,10.0,311170577,7011092.0,21963.0,23,Comedy,UCHr43HOeO7WHmwQ_sij6ezQ,Nathan Kessel,16,3,0,1,0.02253134620758183,7.058186609976303e-05,61,23,416,500,0.122,0.046,0.832
iBh3zOjOCvI,Jelly Bean Guessing Game HACK,2024-04-30 15:19:00+00:00,PT49S,49.0,283306864,6476611.0,21664.0,28,Science & Technology,UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,15,1,0,1,0.022860762738173543,7.646832023102694e-05,31,13,456,500,0.062,0.026,0.912
Vk5-c_v4gMU,ILLIT (아일릿) ‘Magnetic’ Official MV,2024-03-25 08:58:08+00:00,PT3M9S,189.0,270514461,2346973.0,86519.0,10,Music,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,8,0,0,0,0.008675961319494857,0.0003198313305697916,117,4,379,500,0.234,0.008,0.758
HBqH4uJS0PU,Magnetic,2024-03-25 09:02:42+00:00,PT2M41S,161.0,256357425,1294411.0,6762.0,10,Music,UCNVIo0UJXTdEnsRkCB9Q03w,ILLIT - Topic,9,0,0,0,0.005049243258704131,2.637723483140775e-05,0,0,0,0,0.0,0.0,0.0
jWQx2f-CErU,aespa 에스파 'Whiplash' MV,2024-10-21 09:00:42+00:00,PT3M11S,191.0,245857626,2405840.0,90970.0,10,Music,UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,9,0,0,0,0.009785500816639302,0.0003700108940285627,103,8,389,500,0.206,0.016,0.778
1QuDGPAGuYI,편식쟁이는 못 깨는 게임!ㅣ어린이 동요ㅣ리틀신비 인기동요ㅣLittleShinbi,2024-07-19 06:43:14+00:00,PT24S,24.0,237181725,1791888.0,0.0,1,Film & Animation,UCbXvj_H3xn3J0j-9Fh75Z3w,리틀신비🎵 | 키즈 율동 동요,6,4,0,1,0.007554915961590211,0.0,0,0,0,0,0.0,0.0,0.0
eJCHKjt0MPw,BABYMONSTER - ‘FOREVER’ M/V,2024-06-30 15:00:08+00:00,PT3M54S,234.0,228259800,2811948.0,150336.0,22,People & Blogs,UCqwUnggBBct-AY2lAdI88jQ,BABYMONSTER,15,6,1,0,0.012319068009347244,0.0006586179432383626,130,6,364,500,0.26,0.012,0.728
phuiiNCxRMg,aespa 에스파 'Supernova' MV,2024-05-13 09:00:41+00:00,PT3M14S,194.0,225495705,2240731.0,111996.0,10,Music,UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,9,0,0,0,0.009936912102161768,0.0004966657790666124,91,25,384,500,0.182,0.05,0.768
bB3-CUMERIU,JENNIE - Mantra (Official Video),2024-10-11 00:00:06+00:00,PT2M28S,148.0,220624737,3927663.0,327758.0,10,Music,UCN9_L9lA9kqJbGANLRus_1A,JennieRubyJaneVEVO,0,4,0,0,0.01780245974865457,0.001485590439480048,149,4,347,500,0.298,0.008,0.694
M8r3x4Re8-I,BABYMONSTER - 'LIKE THAT' EXCLUSIVE PERFORMANCE VIDEO,2024-05-30 15:00:02+00:00,PT2M58S,178.0,217419539,2530137.0,74775.0,22,People & Blogs,UCqwUnggBBct-AY2lAdI88jQ,BABYMONSTER,15,3,0,0,0.011637118777995385,0.00034392033183365365,119,9,372,500,0.238,0.018,0.744
3OBvQzk4KNo,Sukhasan Star  😂 #comedy #shorts #tiktokvideo #funnyshorts #sukhasankastar,2024-10-23 11:59:16+00:00,PT58S,58.0,217011083,2214979.0,498.0,27,Education,UCmbbkvgMD29P6yQJEAlWaHQ,Sukhasan Ka Star,11,2,0,1,0.010206755200608809,2.294813670875971e-06,21,2,253,276,0.07608695652173914,0.007246376811594203,0.9166666666666666
kOanBE5Wg24,BABYMONSTER - ‘SHEESH’ PERFORMANCE VIDEO,2024-04-04 15:00:01+00:00,PT3M3S,183.0,215989153,1667277.0,38791.0,22,People & Blogs,UCqwUnggBBct-AY2lAdI88jQ,BABYMONSTER,15,3,0,0,0.007719262642786511,0.00017959698189103042,89,4,407,500,0.178,0.008,0.814
l9CZykYZkOQ,"KATSEYE (캣츠아이) ""Touch"" Official MV",2024-07-26 03:58:07+00:00,PT2M19S,139.0,213045248,1669627.0,35231.0,10,Music,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,3,4,0,0,0.007836959592734028,0.000165368626292946,158,4,338,500,0.316,0.008,0.676
UR-j6dEhERk,ASMR EMOJI FOOD 🍯🌈🐾🧸🔵🫲💎🍵🌽🍫 이모지 먹방 (sped up),2024-09-05 13:35:01+00:00,PT58S,58.0,208040510,4175531.0,18974.0,22,People & Blogs,UCDtz84R5bn4fY8AgHuouojg,당비 Dangbee EATING,13,3,0,1,0.02007075929586983,9.120339110877972e-05,46,4,450,500,0.092,0.008,0.9
L-UA9tHdYdE,ToRung comedy: ronaldo fat version😂,2024-11-03 12:49:46+00:00,PT47S,47.0,207745978,4761633.0,2364.0,23,Comedy,UCXbYlU08sOTBktOtjVsvR6w,ToRung,12,6,1,1,0.022920458176090418,1.1379281672543378e-05,10,0,490,500,0.02,0.0,0.98
